We have attempted to match the data in Sample_Data/REXS-Database/SEW_Parallelwellengetriebe_3stufig/sew_parallelwellengetriebe_3stufig_1-1.rexsj to the data in Sample_Data/REXS-Database/SEW_Parallelwellengetriebe_3stufig/sew_parallelwellengetriebe_3stufig_1-2.rexsj. 
92/92 components and 88/88 relations from the first data model were matched. 
92/92 components and 88/88 relations from the second data model were matched. 
 
 
The following matching of components and relations was poduced: 
Components are matched as follows: 
ID 	Type                                 	|	ID  	Type                                 
203   	assembly        	     	38,assembly,shaft                                	930,part,shaft_section      	                                   	|	203   	assembly        	     	38,assembly,shaft                                	1073,part,shaft_section      	                                   
204   	assembly        	     	38,assembly,shaft                                	931,part,shaft_section      	                                   	|	204   	assembly        	     	38,assembly,shaft                                	1074,part,shaft_section      	                                   
205   	assembly        	     	38,assembly,shaft                                	932,part,shaft_section      	                                   	|	205   	assembly        	     	38,assembly,shaft                                	1075,part,shaft_section      	                                   
206   	assembly        	     	54,assembly,shaft                                	933,part,shaft_section      	                                   	|	206   	assembly        	     	54,assembly,shaft                                	1076,part,shaft_section      	                                   
207   	assembly        	     	54,assembly,shaft                                	934,part,shaft_section      	                                   	|	207   	assembly        	     	54,assembly,shaft                                	1077,part,shaft_section      	                                   
208   	assembly        	     	54,assembly,shaft                                	935,part,shaft_section      	                                   	|	208   	assembly        	     	54,assembly,shaft                                	1078,part,shaft_section      	                                   
209   	assembly        	     	54,assembly,shaft                                	936,part,shaft_section      	                                   	|	209   	assembly        	     	54,assembly,shaft                                	1079,part,shaft_section      	                                   
210   	assembly        	     	54,assembly,shaft                                	937,part,shaft_section      	                                   	|	210   	assembly        	     	54,assembly,shaft                                	1080,part,shaft_section      	                                   
211   	assembly        	     	54,assembly,shaft                                	938,part,shaft_section      	                                   	|	211   	assembly        	     	54,assembly,shaft                                	1081,part,shaft_section      	                                   
212   	assembly        	     	54,assembly,shaft                                	939,part,shaft_section      	                                   	|	212   	assembly        	     	54,assembly,shaft                                	1082,part,shaft_section      	                                   
213   	assembly        	     	54,assembly,shaft                                	940,part,shaft_section      	                                   	|	213   	assembly        	     	54,assembly,shaft                                	1083,part,shaft_section      	                                   
